date,appliance_type,ambient_temperature,process_temperature,rotational_speed,torque,service_required,TWF,HDF,PWF,OSF,RNF,temp_diff,device_age_months,failure_risk_score,risk_category,device_id,day,power_consumption_kwh,ambient_temperature_energy,usage_hours_daily,energy_per_hour,region,appliance_type_energy
1,M,298.1,308.6,1551.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0010479055,Low Risk,0,2016-04-22,24.57,11.141666666666667,2.4,10.2375,West,Refrigerator
2,L,298.2,308.7,1408.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.1,0.00446464,Low Risk,1,2016-04-12,15.9,10.648263888888888,2.4,6.625,West,Washing Machine
3,L,298.1,308.5,1498.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,0.16666666666666666,0.0026203466,Low Risk,2,2016-01-25,9.47,9.531597222222222,2.4,3.9458333333333337,West,Washing Machine
4,L,298.2,308.6,1433.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,10.400000000000034,0.23333333333333334,0.0028887293,Low Risk,3,2016-04-26,10.66,3.793055555555556,2.4,4.441666666666667,West,Washing Machine
5,L,298.2,308.7,1408.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.3,0.0020254403,Low Risk,4,2016-03-22,10.24,6.911805555555556,2.4,4.266666666666667,North,Refrigerator
6,M,298.1,308.6,1425.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.36666666666666664,0.002888261,Low Risk,5,2016-01-31,18.64,7.171527777777778,2.4,7.7666666666666675,West,Refrigerator
7,L,298.1,308.6,1558.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.4666666666666667,0.0011019486,Low Risk,6,2016-04-22,24.57,11.141666666666667,2.4,10.2375,West,Refrigerator
8,L,298.1,308.6,1527.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.5333333333333333,0.0019798279,Low Risk,7,2016-05-11,10.67,17.57326388888889,2.4,4.445833333333334,South,Washing Machine
9,M,298.3,308.7,1667.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,10.399999999999977,0.6,0.0025151647,Low Risk,8,2016-03-25,25.98,7.070833333333334,2.4,10.825000000000001,North,Refrigerator
10,M,298.5,309.0,1741.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.7,0.0014299884,Low Risk,9,2016-04-07,9.91,7.427083333333333,2.4,4.129166666666667,South,AC
11,H,298.4,308.9,1782.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.8,0.0009559937,Low Risk,10,2016-05-06,14.51,15.878472222222221,2.4,6.045833333333333,West,Washing Machine
